,№,Номер проекта,Название,Руководитель,Ключевые слова,Коды классификатора,Конкурс,Год,"Организация, регион"
0,1,14-27-00068,"Разработка фундаментальной теории, методов и алгоритмов координатно-временного и навигационного обеспечения для решения приоритетных государственных задач геодезии и дистанционного зондирования с учетом классических и релятивистских эффектов гравитационного поля Земли и других массивных тел солнечной системы.,",Копейкин С. М.,"Геодезия, гравитация, общая теория относительности, координатно-временное навигационное обеспечение, Глобальные Навигационные Спутниковые Системы, квазигеоид, метрология времени, атомные стандарты частоты",Науки о Земле,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"СГУГиТ, 

Новосибирская обл"
1,2,14-28-00218,"Динамика социальной трансформации современной России в социально-экономическом, политическом, социокультурном и этнорелигиозном контекстах,",Горшков М. К.,"социальные трансформации, массовое сознание, экономическое поведение, модернизация, социокультурные факторы, общественно-политические институты и процессы, демократия, гражданское общество, местное самоуправление, жизненные ориентации, гражданская идентичность, религиозная идентичность, этническая идентичность, безопасность, толерантность",Гуманитарные и социальные науки,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИС РАН, 

г Москва"
2,3,14-24-00166,"Механизмы регуляции экспрессии генов и организации архитектуры хроматина у высших эукариот,",Георгиев П. Г.,"Регуляция транскрипции, дистанционные взаимодействия, эпигенетика, транскрипционные факторы, архитектура хроматина, альтернативный сплайсинг, транс-сплайсинг, репрессионные Polycomb-комплексы, некодирующая РНК, ORC-комплекс, искусственные транскрипционные факторы",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИБГ РАН, 

г Москва"
3,4,14-24-00093,"Механизмы активного деметилирования в процессах эпигенетической регуляции,",Жарков Д. О.,"эпигенетика, клеточная регуляция, 5-метилцитозин, 5-гидроксиметилцитозин, белки TET, ДНК-дезаминазы, деметилирование, повреждение ДНК, репарация ДНК, ДНК-гликозилазы, 8-оксогуанин, iPS-клетки",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИХБФМ СО РАН, 

Новосибирская обл"
4,5,14-24-00086,"Механизмы регуляции направленного роста нервов и сосудов компонентами фибринолитической системы и GPI-заякоренными навигационными рецепторами,",Ткачук В. А.,"навигационные рецепторы, урокиназа, рецептор урокиназы, Т-кадгерин, GPI-заякоренные белки, ангиогенез, нейрогенез",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
5,6,14-27-00058,"Изотопные провинции и изотопная структура континентальной коры палеозоид западного сегмента Центрально-Азиатского складчатого пояса и Урала,",Дегтярев К. Е.,"Центрально-Азиатский складчатый пояс, Урал, Nd-Sr изотопная систематика, изотопные провинции, геохронология, офиолиты, островодужные и окраинно-континентальные комплексы, гранитоиды, этапы и механизмы формирования континентальной коры",Науки о Земле,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ГИН РАН, 

г Москва"
6,7,14-22-00004,"Разработка методов компьютерного моделирования, основанных на численном решении квантово-механической задачи, для проведения поисковых исследований новых перспективных материалов.,",Анисимов В. И.,"электронная структура, корреляционные эффекты, магнитные свойства, переходы металл-диэлектрик",Физика и науки о космосе,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИФМ УрО РАН, 

Свердловская обл"
7,8,14-22-00098,"Экспериментальные и теоретические исследования фазовых переходов и квантовых эффектов в наноструктурированных соединениях на основе редкоземельных и переходных металлов.,",Менушенков А. П.,"фазовые переходы, наноструктурирование, сверхпроводимость, физика наноструктур, сильнокоррелированные системы, локально чувствительные методы, метаматериалы, метод Монте-Карло, сплавы с эффектом памяти формы, сложные оксиды на основе редкоземельных и переходных металлов, тонкие пленки дихалькогенидов и оксидов переходных металлов, лазерное напыление.",Физика и науки о космосе,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"НИЯУ МИФИ, 

г Москва"
8,9,14-24-00123,"Системная компьютерная биология: анализ и моделирование структурно-функциональной организации и эволюции генных сетей,",Колчанов Н. А.,"генные сети, системная компьютерная биология, молекулярно-генетические системы, геномика, транскриптомика, протеомика, эволюция, математическое моделирование, компьютерный анализ",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИЦиГ СО РАН, 

Новосибирская обл"
9,10,14-24-00031,"Эпигенетические механизмы и регуляция транскрипции: структурно-функциональный анализ и разработка новых методов исследования,",Кирпичников М. П.,"биоинженерия, эпигенетика, механизмы транскрипции, РНК-полимераза, гистон, нуклеосомы, флуоресцентная микроскопия одиночных комплексов, шапероны, трехмерная структура, электронная микроскопия, компьютерное моделирование, молекулярная динамика, время-разрешённый футпринтинг",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
