date	евро	доллар
20140101	45.0559	32.6587
20140110	45.0672	33.1547
20140111	45.2069	33.2062
20140114	45.2855	33.1204
20140115	45.4139	33.2386
20140116	45.4878	33.3562
20140117	45.4926	33.4013
20140118	45.5175	33.4343
20140121	45.5424	33.6429
20140122	45.8242	33.8161
20140123	45.9125	33.8688
20140124	46.105	34.0334
20140125	46.8985	34.26
20140128	47.4962	34.7093
20140129	47.3739	34.625
20140130	47.2238	34.5633
20140131	48.0951	35.2448
20140201	47.6408	35.18
20140204	47.5351	35.2347
20140205	47.9535	35.4502
20140206	47.2159	34.9592
20140207	46.9497	34.7287
20140208	47.0205	34.6044
20140211	47.3758	34.7636
20140212	47.5319	34.7964
20140213	47.4154	34.7595
20140214	47.4913	34.8611
20140215	48.2618	35.2559
20140218	48.1188	35.0976
20140219	48.3086	35.2386
20140220	48.973	35.5857
20140221	49.1975	35.767
20140222	48.9497	35.6828
20140225	48.7959	35.5112
20140226	48.8654	35.5669
20140227	49.1823	35.7872
20140228	49.3454	36.0501
20140301	49.5839	36.1847
20140304	50.1513	36.3784
20140305	49.952	36.3208
20140306	49.5446	36.0849
20140307	49.5925	36.1251
20140308	50.2625	36.2618
20140312	50.4707	36.4015
20140313	50.5593	36.4865
20140314	50.8096	36.4566
20140315	50.7635	36.6391
20140318	50.9442	36.6505
20140319	50.7621	36.4487
20140320	50.4146	36.207
20140321	49.9628	36.1081
20140322	50.1804	36.4022
20140325	49.9167	36.1663
20140326	49.7042	35.9316
20140327	48.9521	35.4494
20140328	49.0484	35.581
20140329	49.0519	35.6871
20140401	48.968	35.6053
20140402	48.2596	35.024
20140403	48.6826	35.2517
20140404	48.8834	35.5154
20140405	48.6435	35.501
20140408	48.6159	35.4679
20140409	48.86	35.5475
20140410	49.2911	35.7493
20140411	49.2266	35.5581
20140412	49.4994	35.6239
20140415	49.8232	35.989
20140416	49.6836	35.9635
20140417	49.886	36.0813
20140418	49.7289	35.9287
20140419	49.1041	35.5389
20140422	49.2978	35.6688
20140423	49.2185	35.6785
20140424	49.282	35.6625
20140425	49.3175	35.683
20140426	49.6969	35.9289
20140429	49.8219	36.0245
20140430	49.5064	35.6983
20140501	49.3188	35.7227
20140506	49.7361	35.8381
20140507	49.507	35.655
20140508	49.412	35.4971
20140509	48.7642	35.0343
20140513	48.4759	35.2091
20140514	48.0073	34.8789
20140515	47.6173	34.709
20140516	47.5674	34.7005
20140517	47.6999	34.7794
20140520	47.6416	34.7394
20140521	47.3995	34.6007
20140522	47.3171	34.5078
20140523	46.8507	34.2802
20140524	46.835	34.3139
20140527	46.4266	34.0771
20140528	46.7712	34.2571
20140529	47.0161	34.4895
20140530	47.1145	34.6481
20140531	47.2677	34.7352
20140603	47.5463	34.8887
20140604	47.6296	35.0115
20140605	47.8253	35.1398
20140606	47.4908	34.9043
20140607	47.3211	34.6573
20140610	46.8746	34.3303
20140611	46.7269	34.3681
20140612	46.4764	34.3227
20140617	46.8085	34.5654
20140618	47.2121	34.8095
20140619	47.1715	34.8232
20140620	46.696	34.3025
20140621	46.8821	34.419
20140624	46.6478	34.2797
20140625	46.2212	33.9812
20140626	46.1576	33.907
20140627	46.0226	33.7508
20140628	45.8251	33.6306
20140701	46.1827	33.8434
20140702	46.8335	34.2275
20140703	46.8398	34.2496
20140704	46.6863	34.1949
20140705	46.687	34.3236
20140708	46.9448	34.5691
20140709	46.8122	34.4258
20140710	46.4146	34.0758
20140711	46.1649	33.8353
20140712	46.3328	34.0582
20140715	46.6835	34.3135
20140716	46.791	34.3723
20140717	46.6299	34.3853
20140718	47.0702	34.7998
20140719	47.5505	35.1627
20140722	47.5048	35.09
20140723	47.3758	35.0387
20140724	46.8718	34.8101
20140725	47.1702	35.0786
20140726	47.2206	35.0535
20140729	47.4799	35.3457
20140730	47.8635	35.6339
20140731	47.8958	35.7271
20140801	47.4699	35.4438
20140802	47.8244	35.7272
20140805	47.8671	35.6605
20140806	48.049	35.7987
20140807	48.2432	36.1102
20140808	48.4947	36.2496
20140809	48.7722	36.4461
20140812	48.2856	36.0475
20140813	48.2402	36.089
20140814	48.411	36.2222
20140815	48.1416	36.0395
20140816	48.1231	36.0014
20140819	48.2398	36.0294
20140820	48.2133	36.1094
20140821	48.1924	36.224
20140822	48.1686	36.3317
20140823	47.8548	36.0027
20140826	47.6641	36.1201
20140827	47.7282	36.1358
20140828	47.6177	36.1397
20140829	47.952	36.3053
20140830	48.6315	36.9316
20140902	48.9677	37.2945
20140903	49.0193	37.348
20140904	49.0213	37.3183
20140905	48.3786	36.8038
20140906	47.7806	36.9219
20140909	47.9789	37.0866
20140910	47.7118	37.0261
20140911	48.0636	37.1693
20140912	48.2484	37.3758
20140913	48.6647	37.6545
20140916	49.1958	37.9861
20140917	50.0582	38.7058
20140918	49.6923	38.3724
20140919	49.4592	38.4209
20140920	49.5379	38.4134
20140923	49.6193	38.5782
20140924	49.6912	38.6672
20140925	49.3145	38.383
20140926	48.8449	38.3007
20140927	49.3386	38.7243
20140930	49.954	39.3866
20141001	49.9817	39.3836
20141002	50.0554	39.6604
20141003	49.9484	39.5474
20141004	50.2021	39.698
20141007	50.0775	39.982
20141008	50.2017	39.7417
20141009	50.5091	39.9819
20141010	50.9585	39.98
20141011	51.0538	40.2125
20141014	51.0798	40.3251
20141015	51.5141	40.5304
20141016	51.7829	40.9416
20141017	52.1504	40.7457
