date	euro	smi_count
25.01.2014	1,721071467	354
28.01.2014	1,274454407	369
31.01.2014	1,845044236	568
05.02.2014	0,88019169	567
15.02.2014	1,622402419	1168
20.02.2014	1,375324476	493
04.03.2014	1,144323056	368
08.03.2014	1,351010738	412
03.04.2014	0,876509544	384
10.04.2014	0,882316824	346
18.06.2014	0,86223656	216
02.07.2014	1,409185691	249
18.07.2014	0,944243929	239
19.07.2014	1,020390821	126
03.08.2014	1,417042042	126
13.09.2014	0,862826539	236
09.09.2014	1,091345472	284
17.09.2014	1,752995174	255
27.09.2014	1,010750355	314
30.09.2014	1,247299275	364
10.10.2014	0,889740661	413
15.10.2014	0,850238255	541
22.10.2014	1,011132046	946
25.10.2014	0,88497094	624
29.10.2014	1,193030045	672
30.01.2014	0,8724821	715
06.11.2014	5,503405606	4567
07.11.2014	1,656856647	3645
08.11.2014	4,899283756	6847
13.11.2014	1,416491672	4156
15.11.2014	2,709343736	3659
27.11.2014	3,628089101	3644
28.11.2014	2,963982509	4517
29.11.2014	3,001098597	3884
02.12.2014	4,936753796	7844
04.12.2014	6,362604243	6541
06.12.2014	1,345530756	5621
10.12.2014	2,225608638	5974
12.12.2014	1,629937395	4521
13.12.2014	3,272166597	3165
16.12.2014	3,027553244	2894
17.12.2014	4,799337225	2794
18.12.2014	11,07974094	15698
20.12.2014	1,67886078	9514
30.12.2014	8,731899403	19845
13.01.2015	8,75700802	5697
14.01.2015	3,252500501	3265
27.01.2015	2,303818698	2684
28.01.2015	3,709594322	4174
06.02.2015	3,856665978	1068
25.02.2015	2,728343674	1164
12.03.2015	2,125321637	986
14.04.2015	2,294246512	1126
18.04.2015	3,038441693	1598
21.04.2015	1,895396423	825
22.04.2015	3,690755649	1945
28.04.2015	2,224153387	1498
29.04.2015	1,837862217	953
08.05.2015	1,844643432	1468
15.05.2015	2,556817162	1364
29.05.2015	2,635979431	946
05.06.2015	4,794376871	1674
06.06.2015	2,219635786	1346
28.07.2015	2,317282146	956
29.07.2015	2,368975001	746
01.08.2015	2,091950538	365
04.08.2015	3,904230593	577
07.08.2015	2,183480449	414
13.08.2015	3,633378399	587
21.08.2015	2,427914205	928
22.08.2015	2,950165024	376
28.08.2015	5,846285879	1025
14.10.2015	1,937889199	168
29.10.2015	2,75663558	547
14.11.2015	2,106146125	641
05.12.2015	2,692625076	416
30.12.2015	2,504793617	519
